PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Shelach, Gideon; Raphael, Kate; Jaffe, Yitzhak								Sanzuodian: the structure, function and social significance of the earliest stone fortified sites in China								ANTIQUITY				85	327			11	26		10.1017/S0003598X00067405			MAR 2011	2011										10							WOS:000288357000002		
J	Chen Xiao-Li; Li Chuan-You; Wang Ming-Ming; Li Zheng-Fang								The main factors causing the seismic landslide distribution difference on two sides of the faults-A case study of landslide distribution in Beichuan area								CHINESE JOURNAL OF GEOPHYSICS-CHINESE EDITION				54	3			737	746		10.3969/j.issn.0001-5733.2011.03.013			MAR 2011	2011										3							WOS:000289041200013		
J	De Paoli, S.; Miscione, G.								Relationality in geoIT software development: How data structures and organization perform together								COMPUTERS ENVIRONMENT AND URBAN SYSTEMS				35	2			173	182		10.1016/j.compenvurbsys.2010.09.003			MAR 2011	2011										2							WOS:000288924900009		
J	Jeganathan, C.; Roy, P. S.; Jha, M. N.								Multi-Objective Spatial Decision Model for Land Use Planning in a Tourism District of India								JOURNAL OF ENVIRONMENTAL INFORMATICS				17	1			15	24		10.3808/jei.201100183			MAR 2011	2011										5							WOS:000289029800002		
J	Atkinson-Palombo, Carol; Kuby, Michael J.								The geography of advance transit-oriented development in metropolitan Phoenix, Arizona, 2000-2007								JOURNAL OF TRANSPORT GEOGRAPHY				19	2			189	199		10.1016/j.jtrangeo.2010.03.014			MAR 2011	2011										16							WOS:000288481400001		
J	Maatta-Juntunen, Heidi; Antikainen, Harri; Kotavaara, Ossi; Rusanen, Jarmo								Using GIS tools to estimate CO2 emissions related to the accessibility of large retail stores in the Oulu region, Finland								JOURNAL OF TRANSPORT GEOGRAPHY				19	2			346	354		10.1016/j.jtrangeo.2010.03.001			MAR 2011	2011										7							WOS:000288481400016		
J	Choi, Jong-Kuk; Oh, Hyun-Joo; Koo, Bon Joo; Lee, Saro; Ryu, Joo-Hyung								Macrobenthos habitat mapping in a tidal flat using remotely sensed data and a GIS-based probabilistic model								MARINE POLLUTION BULLETIN				62	3			564	572		10.1016/j.marpolbul.2010.11.028			MAR 2011	2011										8							WOS:000288977300023		
J	Yildirim, V.; Yomralioglu, T.								NABUCCO Pipeline Route Selection through Turkey Comparison of a GIS-based Approach to a Traditional Route Selection Approach								OIL GAS-EUROPEAN MAGAZINE				37	1			20	24					MAR 2011	2011										3							WOS:000289273200003		
J	Coy, Maddy; Kelly, Liz; Foord, Joanne; Bowstead, Janet								Roads to Nowhere? Mapping Violence Against Women Services								VIOLENCE AGAINST WOMEN				17	3			404	425		10.1177/1077801211398637			MAR 2011	2011										8							WOS:000289207600009		
J	Chen, Bangqian; Cao, Jianhua; Wang, Jikun; Wu, Zhixiang; Xie, Guishui								Development and Implementation of Site-Specific Fertilizer Recommendation Model Based on Nutrient Balance for Rubber Plantation								AGRONOMY JOURNAL				103	2			464	471		10.2134/agronj2010.0244			MAR-APR 2011	2011										3							WOS:000288829000018		
