PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Terrado, Marta; Barcelo, Damia; Tauler, Roma								Identification and distribution of contamination sources in the Ebro river basin by chemometrics modelling coupled to geographical information systems								TALANTA				70	4			691	704		10.1016/j.talanta.2006.05.041			NOV 15 2006	2006						1st Workshop of the European-Union	OCT 20-21, 2005	European Union	Dubrovnik, CROATIA	54							WOS:000241481800003		
J	Shadbolt, Ryan P.; Waller, Eleanor A.; Messina, Joseph P.; Winkler, Julie A.								Source regions of lower-tropospheric airflow trajectories for the lower peninsula of Michigan: A 40-year air mass climatology								JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES				111	D21					D21117	10.1029/2005JD006657			NOV 14 2006	2006										7							WOS:000242175800002		
J	Zhu, M.; Jiang, N.; Li, J.; Xu, J.; Fan, Y.								The effects of sensor spatial resolution and changing grain size on fragmentation indices in urban landscape								INTERNATIONAL JOURNAL OF REMOTE SENSING				27	21			4791	4805		10.1080/01431160600702442			NOV 10 2006	2006										8							WOS:000243084700006		
J	Hamandawana, H.; Eckardt, F.; Ringrose, S.								The use of step-wise density slicing in classifying high-resolution panchromatic photographs								INTERNATIONAL JOURNAL OF REMOTE SENSING				27	21			4923	4942		10.1080/01431160600857436			NOV 10 2006	2006										7							WOS:000243084700015		
J	Kong, Fanhua; Nakagoshi, Nobukazu								Spatial-temporal gradient analysis of urban green spaces in Jinan, China								LANDSCAPE AND URBAN PLANNING				78	3			147	164		10.1016/j.landurbplan.2005.07.006			NOV 9 2006	2006										106							WOS:000242362400001		
J	Cunningham, Mary Ann								Accuracy assessment of digitized and classified land cover data for wildlife habitat								LANDSCAPE AND URBAN PLANNING				78	3			217	228		10.1016/j.landurbplan.2005.08.002			NOV 9 2006	2006										27							WOS:000242362400006		
J	Matsushita, Bunkei; Xu, Ming; Fukushima, Takehiko								Characterizing the changes in landscape structure in the Lake Kasumigaura Basin, Japan using a high-quality GIS dataset								LANDSCAPE AND URBAN PLANNING				78	3			241	250		10.1016/j.landurbplan.2005.08.003			NOV 9 2006	2006										41							WOS:000242362400008		
J	Scibek, J.; Allen, D. M.								Modeled impacts of predicted climate change on recharge and groundwater levels								WATER RESOURCES RESEARCH				42	11					W11405	10.1029/2005WR004742			NOV 8 2006	2006										117							WOS:000241987000003		
J	Kolat, Cagil; Doyuran, Vedat; Ayday, Can; Suzen, M. Luetfi								Preparation of a geotechnical microzonation model using Geographical Information Systems based on Multicriteria Decision Analysis								ENGINEERING GEOLOGY				87	3-4			241	255		10.1016/j.enggeo.2006.07.005			NOV 3 2006	2006										46							WOS:000242223900009		
J	Oesterholt, M. J. A. M.; Bousema, J. T.; Mwerinde, O. K.; Harris, C.; Lushino, P.; Masokoto, A.; Mwerinde, H.; Mosha, F. W.; Drakeley, C. J.								Spatial and temporal variation in malaria transmission in a low endemicity area in northern Tanzania								MALARIA JOURNAL				5						98	10.1186/1475-2875-5-98			NOV 3 2006	2006										82							WOS:000242200900001		
J	Gutierrez, Andrew Paul; D'Oultremont, Thibaud; Ellis, C. K.; Ponti, Luigi								Climatic limits of pink bollworm in Arizona and California: effects of climate warming								ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY				30	3			353	364		10.1016/j.actao.2006.06.003			NOV-DEC 2006	2006										19							WOS:000243308700008		
J	Kelley, Susan L.								Resolving place names in Amdo and Kham: A gazetteer for the Hengduan mountains region of southwest China								ACTA PHYTOTAXONOMICA SINICA				44	6			721	732		10.1360/aps060080			NOV 2006	2006										0							WOS:000242416100012		
J	Baz, Ibrahim; Geymen, Abdurrahman								Automatic document preparation by interacting GIS software packages using office programs								ADVANCES IN ENGINEERING SOFTWARE				37	11			763	769		10.1016/j.advengsoft.2006.04.004			NOV 2006	2006										0							WOS:000241255800005		
J	Green, A. N.; Garland, G. G.; Uken, R.								Geomorphological and managerial implications of fish trapping in the Kosi Bay Estuary, KwaZulu-Natal, South Africa								AFRICAN JOURNAL OF MARINE SCIENCE				28	3-4			617	624		10.2989/18142320609504211			NOV 2006	2006										1							WOS:000243400400013		
J	Collard, S. J.; Zammit, C.								Effects of land-use intensification on soil carbon and ecosystem services in Brigalow (Acacia harpophylla) landscapes of southeast Queensland, Australia								AGRICULTURE ECOSYSTEMS & ENVIRONMENT				117	2-3			185	194		10.1016/j.agee.2006.04.004			NOV 2006	2006										27							WOS:000241292800010		
J	Hatonen, Katja A.; Simila, Minna E.; Virtamo, Jarmo R.; Eriksson, Johan G.; Hannila, Marja-Leena; Sinkko, Harri K.; Sundvall, Jouko E.; Mykkanen, Hannu M.; Valsta, Liisa M.								Methodologic considerations in the measurement of glycemic index: glycemic response to rye bread, oatmeal porridge, and mashed potato								AMERICAN JOURNAL OF CLINICAL NUTRITION				84	5			1055	1061					NOV 2006	2006										31							WOS:000241937700016		
J	Kho, Abel; Johnston, Kelly; Wilson, Jeffrey; Wilson, Stephen J.								Implementing an animated geographic information system to investigate factors associated with nosocomial infections: A novel approach								AMERICAN JOURNAL OF INFECTION CONTROL				34	9			578	582		10.1016/j.ajic.2006.02.007			NOV 2006	2006										7							WOS:000242035400006		
J	Britch, Seth C.; Linthicum, Kenneth J.								An automated GIS/remotely sensed early warning system to detect elevated populations of vectors of Rift Valley fever, a mosquito-borne emerging virus threat								AMERICAN JOURNAL OF TROPICAL MEDICINE AND HYGIENE				75	5			74	74					NOV 2006	2006										0							WOS:000242343900255		
