PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
B	Albrecht, J								GIS: A computing perspective - Worboys,M								INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE				11	4			405	406					JUN 1997	1997										0							WOS:A1997XB55200007		
J	Blackburn, GA; Milton, EJ								An ecological survey of deciduous woodlands using airborne remote sensing and geographical information systems (GIS)								INTERNATIONAL JOURNAL OF REMOTE SENSING				18	9			1919	1935		10.1080/014311697217954			JUN 1997	1997										21							WOS:A1997XC45400005		
J	Reid, RS; Wilson, CJ; Kruska, RL; Mulatu, W								Impacts of tsetse control and land-use on vegetative structure and tree species composition in south-western Ethiopia								JOURNAL OF APPLIED ECOLOGY				34	3			731	747		10.2307/2404919			JUN 1997	1997										17							WOS:A1997XG78600014		
J	Bass, AS; Turner, RE								Relationships between salt marsh loss and dredged canals in three Louisiana estuaries								JOURNAL OF COASTAL RESEARCH				13	3			895	903					SUM 1997	1997										15							WOS:A1997XQ32600026		
J	Little, LS; Edwards, D; Porter, DE								Kriging in estuaries: As the crow flies, or as the fish swims?								JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY				213	1			1	11		10.1016/S0022-0981(97)00006-3			JUN 1 1997	1997										48							WOS:A1997XD29200002		
J	LeMaitre, DC; Versfeld, DB								Forest evaporation models: Relationships between stand growth and evaporation								JOURNAL OF HYDROLOGY				193	1-4			240	257		10.1016/S0022-1694(96)03144-7			JUN 1997	1997										20							WOS:A1997XH91800013		
J	Lawrence, RT								Measuring the image of God: The God Image Inventory and the God image scales								JOURNAL OF PSYCHOLOGY AND THEOLOGY				25	2			214	226					SUM 1997	1997										82							WOS:A1997XK08800006		
J	Gordon, A; Womersley, J								The use of mapping in public health and planning health services								JOURNAL OF PUBLIC HEALTH MEDICINE				19	2			139	147		10.1093/oxfordjournals.pubmed.a024601			JUN 1997	1997										18							WOS:A1997XK01800005		
J	Howland, M; Lindsay, FE								Where do tenants come from? Using a geographic information system to study the demand for new office space								JOURNAL OF THE AMERICAN PLANNING ASSOCIATION				63	3			356	364		10.1080/01944369708975928			SUM 1997	1997										0							WOS:A1997XM73600004		
B	Prosperi, DC								GIS and organizations - Campbell,H, Masser,I								JOURNAL OF THE AMERICAN PLANNING ASSOCIATION				63	3			414	414					SUM 1997	1997										0							WOS:A1997XM73600032		
J	Bolstad, PV; Swank, WT								Cumulative impacts of landuse on water quality in a southern Appalachian watershed								JOURNAL OF THE AMERICAN WATER RESOURCES ASSOCIATION				33	3			519	533		10.1111/j.1752-1688.1997.tb03529.x			JUN 1997	1997										115							WOS:A1997XD79900002		
J	Liao, HH; Tim, US								An interactive modeling environment for non-point source pollution control								JOURNAL OF THE AMERICAN WATER RESOURCES ASSOCIATION				33	3			591	603		10.1111/j.1752-1688.1997.tb03534.x			JUN 1997	1997										33							WOS:A1997XD79900007		
J	Ramaswamy, SM								National Symposium on GIS and Geological Remote Sensing								JOURNAL OF THE GEOLOGICAL SOCIETY OF INDIA				49	6			740	740					JUN 1997	1997										0							WOS:A1997XC62800018		
J	Lang, R; Muller, A; Lenz, R; Selige, T; Forster, EM								Landscape modelling and GIS applications in the Munich Research Association for Agricultural Ecosystems (FAM)								LANDSCAPE AND URBAN PLANNING				37	1-2			11	18		10.1016/S0169-2046(96)00365-9			JUN 1997	1997						Symposium on Future Landscapes and the Future of Landscape Ecology at the World Congress of the International-Association-for-Landscape-Ecology (IALE 95)	AUG, 1995	Int Assoc Landscape Ecol	TOULOUSE, FRANCE	1							WOS:A1997XJ29700003		
J	Bonfanti, P; Fregonese, A; Sigura, M								Landscape analysis in areas affected by land consolidation								LANDSCAPE AND URBAN PLANNING				37	1-2			91	98		10.1016/S0169-2046(96)00373-8			JUN 1997	1997						Symposium on Future Landscapes and the Future of Landscape Ecology at the World Congress of the International-Association-for-Landscape-Ecology (IALE 95)	AUG, 1995	Int Assoc Landscape Ecol	TOULOUSE, FRANCE	38							WOS:A1997XJ29700011		
