PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Liao, C.; Lv, Y.; Zhang, X.			IEEE					LOCUST PLAGUES RISK ASSESSMENT IN XINJIANG/CHINA INTEGRATING QUANTITATIVE REMOTE SENSING AND GIS TECHNOLOGIES								2013 FIFTH INTERNATIONAL CONFERENCE ON GEO-INFORMATION TECHNOLOGIES FOR NATURAL DISASTER MANAGEMENT (GIT4NDM)								137	142		10.1109/GIT4NDM.2013.24			2013	2013						5th International Conference on Geo-Information Technologies for Natural Disaster Management (GiT4NDM)	OCT 09-11, 2013	Int Cartog Assoc Commiss Mapping Remote Sensor Imagery; Int Assoc Geodesy Joint Working Grp 0 2 1 New Technologies Disaster Monitoring & Management; Int Soc Photogrammetry & Remote Sensing Working Grp I 6 Mobile Scanning & Imaging Syst; Int Federat Surveyors Working Grp 4 4 Maritime & Marine Spatial Informat Management; Int Assoc Geo Informat & Commun Technol Working Grp Geomat Disaster Management; Peking Univ; Univ Waterloo	Mississauga, CANADA	0							WOS:000348680000017		
J	Wijaya, Wayan Mahardhika; Nakamura, Yasuhiro			IEEE					Predicting Ship Behavior Navigating Through Heavily Trafficked Fairways by Analyzing AIS Data on Apache HBase								2013 FIRST INTERNATIONAL SYMPOSIUM ON COMPUTING AND NETWORKING (CANDAR)								220	226		10.1109/CANDAR.2013.39			2013	2013						1st International Symposium on Computing and Networking (CANDAR)	DEC 04-06, 2013		Matsuyama, JAPAN	5							WOS:000346365400033		
J	Xu, Quan-li; Yang, Kun; Yi, Jun-hua; Wang, Gui-lin			IEEE					Simulation for land use dynamic change of Dian-chi lake watershed using agent-based modeling								Global Congress on Intelligent Systems								40	44		10.1109/GCIS.2013.13			2013	2013						4th Global Congress on Intelligent Systems (GCIS)	DEC 03-04, 2013		Hong Kong, PEOPLES R CHINA	0							WOS:000355265100008		
J	Peng Shuangyun; Yang Kun; Wang Jiasheng; Huang Bangmei			IEEE					The Research and Development of the Time-space Simulation of AIDS Transmission and Assistant Decision Support System in Kunming								Global Congress on Intelligent Systems								317	321		10.1109/GCIS.2013.57			2013	2013						4th Global Congress on Intelligent Systems (GCIS)	DEC 03-04, 2013		Hong Kong, PEOPLES R CHINA	0							WOS:000355265100052		
J	Yang Jun; Wu Guoyong			IEEE					The design and application of the intelligent community system based on GIS								2013 FOURTH INTERNATIONAL CONFERENCE ON INTELLIGENT SYSTEMS DESIGN AND ENGINEERING APPLICATIONS								629	632		10.1109/ISDEA.2013.550			2013	2013						4th International Conference on Intelligent Systems Design and Engineering Applications (ISDEA)	NOV 06-07, 2013	Cent S Univ; St Johns Univ; Hunan Univ Technol, Dept Elect Sci & Technol; Natl Univ Defense Technol; Intelligent Computat Technol & Automat Soci	Zhangjiajie, PEOPLES R CHINA	0							WOS:000346143900144		
J	Wu, Zhuangliang; Zeng, Wenhua; Yang, Lvqing; Li, Yue; Wang, Meihong			IEEE					Analysis and Design of Electronic Map Based on RFID and Google Maps								2013 IEEE 11TH INTERNATIONAL CONFERENCE ON DEPENDABLE, AUTONOMIC AND SECURE COMPUTING (DASC)								330	333		10.1109/DASC.2013.84			2013	2013						11th IEEE International Conference on Dependable, Autonomic and Secure Computing (DASC)	DEC 21-22, 2013	IEEE; NSFC; IEEE Comp Soc; Unive Elect Sci & Technol China; StFX Univ; Ubiquitous Media Communicat Lab; IEEE Tech Comm Scalable Comp	Chengdu, PEOPLES R CHINA	0							WOS:000360991500057		
J	Kimm, Haklin; Abolhassani, Neda; Lee, Fenglien								Edge Detection and Linking Pattern Analysis Using Markov Chains								IEEE International Conference on Computational Science and Engineering								1146	1152		10.1109/CSE.2013.170			2013	2013						IEEE 16th International Conference on Computational Science and Engineering (CSE)	DEC 03-05, 2013	IEEE; Univ Technol Sydney; CSIRO; IEEE Tech Comm Scalable Comp; IEEE Comp Soc	Sydney, AUSTRALIA	3							WOS:000351950300163		
J	Sridhar, C.; Venkatesh, S.; Kumar, Santosh A.			IEEE					Power Loss Estimation in a 420kV Gas Insulated Busbar (GIB) by Theoretical and Simulation Techniques - A Comparison								2013 IEEE 1ST INTERNATIONAL CONFERENCE ON CONDITION ASSESSMENT TECHNIQUES IN ELECTRICAL SYSTEMS (CATCON)								213	217					2013	2013						IEEE 1st International Conference on Condition Assessment Techniques in Electrical Systems (IEEE CATCON)	DEC 06-08, 2013	IEEE; IEEE Dielectr & Elect Insulat Soc; IEEE Kolkata Sect, Dielectr & Elect Insulat Soc Chapter	Jadavpur Univ, Elect Engn Dept, High Tens Lab, Kolkata, INDIA	0							WOS:000347871300037		
J	Prabakaran, T.; Usa, S.; Kumar, Santosh A.			IEEE					Analysis of Partial Discharge Signals in 420 kV Gas Insulated Substation								2013 IEEE 1ST INTERNATIONAL CONFERENCE ON CONDITION ASSESSMENT TECHNIQUES IN ELECTRICAL SYSTEMS (CATCON)								249	254					2013	2013						IEEE 1st International Conference on Condition Assessment Techniques in Electrical Systems (IEEE CATCON)	DEC 06-08, 2013	IEEE; IEEE Dielectr & Elect Insulat Soc; IEEE Kolkata Sect, Dielectr & Elect Insulat Soc Chapter	Jadavpur Univ, Elect Engn Dept, High Tens Lab, Kolkata, INDIA	1							WOS:000347871300042		
J	Andritsch, T.; Kochetov, R.; Morshuis, P. H. F.; Smit, J. J.; Vaughan, A. S.			IEEE					Modeling of the Permittivity of Epoxy Nanocomposites								Conference on Electrical Insulation and Dielectric Phenomena Annual Report								722	725					2013	2013						IEEE Annual Report Conference on Electrical Insulation and Dielectric Phenomena (CEIDP)	OCT 20-23, 2013	IEEE	Shenzhen, PEOPLES R CHINA	4							WOS:000360957000177		
