PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Magar, M. S. Rana; Khatry, S. B.								Vollenweider Model for Temporal Eutrophication Characteristics of Nagdaha Lake, Nepal								ASIAN JOURNAL OF WATER ENVIRONMENT AND POLLUTION				14	1			29	39		10.3233/AJW-170004			2017	2017										0							WOS:000394621100004		
J	Zhai, Liang; Zou, Bin; Fang, Xin; Luo, Yanqing; Wan, Neng; Li, Shuang								Land Use Regression Modeling of PM2.5 Concentrations at Optimized Spatial Scales								ATMOSPHERE				8	1					1	10.3390/atmos8010001			JAN 2017	2017										4							WOS:000396165100001		
J	Shanmugakumar, Sharanyaa; Playford, Denese; Burkitt, Tessa; Tennant, Marc; Bowles, Tom								Is Western Australia's rural surgical workforce going to sustain the future? A quantitative and qualitative analysis								AUSTRALIAN HEALTH REVIEW				41	1			75	81		10.1071/AH15084			2017	2017										0							WOS:000395510500012		
J	Aksozen, Mehmet; Hassler, Uta; Kohler, Niklaus								Reconstitution of the dynamics of an urban building stock								BUILDING RESEARCH AND INFORMATION				45	3			239	258		10.1080/09613218.2016.1152040			2017	2017										1							WOS:000395584500001		
J	Aksozen, Mehmet; Hassler, Uta; Rivallain, Mathieu; Kohler, Niklaus								Mortality analysis of an urban building stock								BUILDING RESEARCH AND INFORMATION				45	3			259	277		10.1080/09613218.2016.1152531			2017	2017										0							WOS:000395584500002		
J	Robinson, Jonnell A.; Block, Daniel; Rees, Amanda								Community Geography: Addressing Barriers in Public Participation GIS								CARTOGRAPHIC JOURNAL				54	1			5	13		10.1080/00087041.2016.1244322			2017	2017										1							WOS:000396700100002		
J	Rylov, Maxim; Reimer, Andreas								A Practical Algorithm for the External Annotation of Area Features								CARTOGRAPHIC JOURNAL				54	1			61	76		10.1179/1743277414Y.0000000091			2017	2017										4							WOS:000396700100007		
J	Pournaghi, Roya								GIS as a supporting instrument for making decisions about the library sources collection management								COLLECTION BUILDING				36	1			11	19		10.1108/CB-06-2016-0014			2017	2017										0							WOS:000395592000002		
J	Mackenzie, Kierin; Siabato, Willington; Reitsma, Femke; Claramunt, Christophe								Spatio-temporal Visualisation and Data Exploration of Traditional Ecological Knowledge/Indigenous Knowledge								CONSERVATION & SOCIETY				15	1			41	58		10.4103/0972-4923.201391			JAN-MAR 2017	2017										0							WOS:000396162500005		
J	Jaafari, Abolfazl; Rezaeian, Javad; Omrani, Masoud Shafipour								Spatial Prediction of Slope Failures in Support of Forestry Operations Safety								CROATIAN JOURNAL OF FOREST ENGINEERING				38	1			107	118					JAN 2017	2017										4							WOS:000396547100011		
J	El-Zeiny, Ahmed; El-Kafrawy, Sameh								Assessment of water pollution induced by human activities in Burullus Lake using Landsat 8 operational land imager and GIS								EGYPTIAN JOURNAL OF REMOTE SENSING AND SPACE SCIENCES				20				S49	S56		10.1016/j.ejrs.2016.10.002			2017	2017										1							WOS:000396610600007		
J	Salih, Abdelrahim A. M.; Hamid, Amna Ahmed								Hydrological studies in the White Nile State in Sudan								EGYPTIAN JOURNAL OF REMOTE SENSING AND SPACE SCIENCES				20				S31	S38		10.1016/j.ejrs.2016.12.004			2017	2017										0							WOS:000396610600005		
J	Salih, Abdelrahim A. M.; Ganawa, El-Tyeb; Elmahl, Anwer Alsadat								Spectral mixture analysis (SMA) and change vector analysis (CVA) methods for monitoring and mapping land degradation/desertification in arid and semiarid areas (Sudan), using Landsat imagery								EGYPTIAN JOURNAL OF REMOTE SENSING AND SPACE SCIENCES				20				S21	S29		10.1016/j.ejrs.2016.12.008			2017	2017										0							WOS:000396610600004		
J	Nagababu, Garlapati; Naidu, Natansh K.; Kachhwaha, Surendra Singh; Savsani, Vimal								Feasibility study for offshore wind power development in India based on bathymetry and reanalysis data								ENERGY SOURCES PART A-RECOVERY UTILIZATION AND ENVIRONMENTAL EFFECTS				39	5			497	504		10.1080/15567036.2016.1233303			2017	2017										0							WOS:000396838000008		
J	Silva, Flora; Scalize, Paulo Sergio; da Silva Cruvinel, Karla Alcione; Albuquerque, Antonio								Characterization of residual soils for infiltration of reclaimed water								ENGENHARIA SANITARIA E AMBIENTAL				22	1			95	102		10.1590/S1413-41522016141677			JAN-FEB 2017	2017										0							WOS:000396344100011		
J	Yermolaev, O. P.								Geoinformation mapping of soil erosion in the Middle Volga region								EURASIAN SOIL SCIENCE				50	1			118	131		10.1134/S1064229317010070			JAN 2017	2017										0							WOS:000395058300015		
J	Moody, Allison T.; Neeson, Thomas M.; Wangen, Steve; Dischler, Jeff; Diebel, Matthew W.; Milt, Austin; Herbert, Matthew; Khoury, Mary; Yacobson, Eugene; Doran, Patrick J.; Ferris, Michael C.; O'Hanley, Jesse R.; McIntyre, Peter B.								Pet Project or Best Project? Online Decision Support Tools for Prioritizing Barrier Removals in the Great Lakes and Beyond								FISHERIES				42	1			57	65		10.1080/03632415.2016.1263195			JAN 2017	2017										2							WOS:000394578500011		
